max buffer gets delta,max executions delta,max ELAPSED TIME DELTA ,max rows TIME DELTA ,max disk reads delta,max cpu TIME DELTA 
425,2,665382,0,5,109375
28,7,6537,7,0,15625
0,1,114852,0,0,62500
78,1,8469,158,3,15625
31221,4,7770306,4,1217,3500000
117,17,65880,17,37,15625
613,197,979640,62,58,78125
326,144,124453,0,2,15625
567,1,1576607,1,41,31250
219,17,63785,53,104,0
985,197,2681969,182,213,46875
118,66,39436,52,3,46875
1119,364,205321,222,13,46875
442,103,49304,411,3,15625
2399,615,354438,8470,23,140625
32499,1,5720081,1,1790,1234375
109,17,136689,20,23,0
1141,197,3666882,241,103,46875
137,38,1576639,38,35,0
6678,1,5974801,1,335,421875
1795,234,982510,340,41,187500
608,103,161751,146,16,46875
2413,240,90739,666,2,78125
374,103,42521,10,1,0
1364,290,85470,290,1,62500
2189,1,2953491,1,110,93750
519,1,1611967,0,13,15625
305221,3117,828446,3117,6,734375
246,123,10216,123,0,0
906,1,215740,1,149,78125
326,144,56962,0,7,15625
2127,480,499066,480,23,62500
422,103,495076,103,45,46875
96,44,148292,4,11,0
10,4,33728,2,4,0
67,16,32264,16,5,0
686,1,92775,1,31,46875
2,1,2767,1,1,0
1553,2,3320037,2,150,93750
6702,1,124653,0,0,125000
8664,2163,1281985,2098,73,250000
584,1,1047810,1,567,500000
3740,1224,285755,1223,23,109375
31527,10507,382124,10507,0,375000
14281,5250,2678515,3759,103,281250
297,1,645841,1,297,312500
94,1,30540,1,4,15625
4,1,18667,1,0,15625
39,11,6273,2,1,0
196,182,13452,0,0,15625
458,129,91134,0,9,15625
1064,1,108541,1,53,46875
178,75,138278,0,5,0
16522,1,2927557,0,76,718750
0,1,2314124,1,0,0
585,467,92949,39,4,62500
0,1,756990,1,0,750000
7078,1,285430,1,8,109375
614,160,72994,319,2,0
360,118,8167,0,0,31250
568,142,33018,142,3,31250
175,1,468169,8,4,343750
274,75,109625,0,9,31250
0,0,0,0,0,0
162,1,479455,8,4,390625
437,1,2314125,1,29,62500
66,1,709661,1,4,109375
237,144,40736,0,1,15625
0,1,401339,8,0,375000
3846,1,3128536,1,258,531250
13996,1,4097034,2709,1108,187500
64,5,377254,2,0,31250
419,103,85694,363,3,62500
280,1,180152,1,10,62500
50,2,19979,2,0,15625
20349,1756,1156279,0,40,265625
34,1,23903,1,0,15625
309,1,455100,1,315,187500
2544,318,36654,318,0,31250
300,1,265728,0,6,187500
732,355,664354,0,17,62500
295,91,90857,90,6,0
375,103,13008,47,0,15625
356,290,41955,0,1,0
855,1,344927,0,7,234375
6045,886,2143559,2125,117,109375
1514,1,427553,4,623,125000
53342,1,7042892,116,123,5640625
278,24,228320,24,9,15625
286,76,17221,86,1,15625
35,1,126858,201,4,0
143,35,2264279,137,1,15625
470,143,812434,143,26,15625
550,22,2225144,22,158,31250
67,14,4938,0,0,0
103,89,20910,1,1,62500
1682,174,345370,174,45,109375
94,1,15020,0,1,15625
290,290,11601,0,0,0
300,1,2382730,0,26,156250
5296,1153,256230,1450,12,78125
881,83,8194777,3339,26,8015625
5929,1,2291268,1,159,656250
572,182,36614,182,0,31250
830,1,82190,1,0,93750
81,1,29335,1,0,31250
3188,1,453740,1,76,390625
23,150,11981,0,0,0
959,1,317388,1,670,62500
326,144,93272,0,5,15625
146,1,14632,1,0,15625
15,599,3941755,599,0,3796875
535,1,1962473,1,36,78125
9383,9383,208893,0,1,187500
14224,1,158237,1,5,93750
177,1,2337171,1,26,0
3135,1,395435,1,59,171875
585,228,74763,118,2,46875
53,14,1789,2,0,0
212,89,97292,38,5,31250
7713,886,3840483,2364,219,218750
4120,126,66376,1182,0,78125
343,103,23768,2047,0,0
564,1,558134,0,43,15625
804,358,237909,354,11,46875
26,8,132972,4,2,0
12,1,7855,0,0,0
4,2,716,2,0,0
6,1,75089,8,0,15625
56,1,26526,1,0,31250
0,12,59094,12,0,31250
0,3,6490565,2,0,15625
31,10,5162,5,0,0
0,0,0,0,0,0
88,12,4001602,24,13,0
0,0,0,0,0,0
12,10,3905,1,0,15625
6,1,7003328,12,0,15625
67,1,1411214,72,3,0
31,10,3050,201,0,0
35,1,1213156,1,3,15625
43,20,4263,3,0,0
26,1,60456,0,1,46875
12,2,40588,2,0,46875
6,1,1035339,15,0,0
1362,446,224728,6,0,62500
568,192,223975,180,1,0
18,1,2830253,4,0,0
39,13,2151,0,0,0
0,0,0,0,0,0
6,1,535026,8,0,359375
136,2,45920,2,5,31250
191,1,3654284,0,8,15625
40,8,12544,8,0,31250
